Using OpenSHMEM version 1.3
Created all test list.
Will be running with 128 different tests
Will be running with 22 different size configurations
Using OpenSHMEM version 1.3
Running tests

#---------------------------------------------------
# Benchmarking shmem_local_read 
# #processes = 2
#---------------------------------------------------
       #bytes  #repetitions     t_min[nsec]     t_max[nsec]       t_avg[nsec]      Bw_aggregated[MB/sec]
            8          1000               5               0              11.57                   4457.74
           16          1000               5             283              16.71                   6173.01
           32          1000              13             234              29.78                   6927.52
           64          1000              44             374              63.76                   6471.03
          128          1000             143             390             157.98                   5223.69
          256          1000             307             629             332.65                   4961.60
          512          1000             577             738             595.49                   5543.30
         1024          1000            1102            1264            1119.65                   5896.38
         2048          1000            2153           23242            2193.76                   6018.80
         4096          1000            4254            4418            4266.40                   6189.68
         8192          1000            8442           29555            8492.12                   6219.33
        16384          1000           16833           39830           16886.11                   6255.47
        32768           500           33614           57254           33735.66                   6262.25
        65536           500           67175           93628           67278.26                   6280.22
       131072           500          134312          158817          134519.33                   6281.96
       262144           500          268735          306946          269210.01                   6277.96
       524288           500          537876          570447          538642.88                   6275.36
      1048576           250         1075693         1123716         1077211.70                   6275.80
      2097152           250         2151295         2236026         2154082.18                   6276.79
      4194304           250         4302439         4520080         4308763.61                   6275.92
      8388608           100         8604794         8637451         8614743.98                   6277.94
     16777216           100        17210232        17780451        17245984.30                   6271.94

#---------------------------------------------------
# Benchmarking shmem_local_write 
# #processes = 2
#---------------------------------------------------
       #bytes  #repetitions     t_min[nsec]     t_max[nsec]       t_avg[nsec]      Bw_aggregated[MB/sec]
            8          1000               5             367              13.57                   3800.18
           16          1000               5             229              17.97                   5740.69
           32          1000              13             286              27.45                   7516.13
           64          1000              44             359              60.56                   6813.02
          128          1000             151             382             185.91                   4438.91
          256          1000             299             473             318.37                   5184.18
          512          1000             569             738             582.45                   5667.32
         1024          1000            1095            2145            1115.63                   5917.67
         2048          1000            2145            2314            2155.86                   6124.64
         4096          1000            4246           20122            4275.74                   6176.16
         8192          1000            8435            8835            8450.78                   6249.76
        16384          1000           16822           23684           16851.28                   6268.40
        32768           500           33598           56505           33717.69                   6265.59
        65536           500           67160           90212           67286.81                   6279.43
       131072           500          134296          236042          134670.01                   6274.93
       262144           500          268598          364878          269678.58                   6267.05
       524288           500          537112          572564          537890.14                   6284.15
      1048576           250         1074125         1103280         1075518.30                   6285.68
      2097152           250         2148151         2363336         2152144.04                   6282.44
      4194304           250         4296204         4712157         4302954.99                   6284.39
      8388608           100         8592308         8629354         8601648.68                   6287.50
     16777216           100        17184505        17396418        17208545.41                   6285.58

#---------------------------------------------------
# Benchmarking shmalloc 
# #processes = 2
#---------------------------------------------------
       #bytes  #repetitions     t_min[nsec]     t_max[nsec]       t_avg[nsec]      Bw_aggregated[MB/sec]
            8          1000          396771          521891          400138.48                       N/A
           16          1000          396505          566984          400089.49                       N/A
           32          1000          396560          539265          399524.51                       N/A
           64          1000          396492          654495          400160.06                       N/A
          128          1000          396576          560996          399835.42                       N/A
          256          1000          396498          559329          399956.66                       N/A
          512          1000          396490          560843          399375.84                       N/A
         1024          1000          396399          531844          399450.88                       N/A
         2048          1000          396404          459362          399332.92                       N/A
         4096          1000          396690          426921          399167.24                       N/A
         8192          1000          396498          435746          399205.88                       N/A
        16384          1000          396505          450959          399243.05                       N/A
        32768           500          396830          566370          400230.11                       N/A
        65536           500          396674          425556          399153.23                       N/A
       131072           500          396427          444105          399360.68                       N/A
       262144           500          396635          488478          399741.99                       N/A
       524288           500          396297          438775          399230.94                       N/A
      1048576           250          396196          442321          399429.54                       N/A
      2097152           250          771545          972010          776084.33                       N/A
      4194304           250         1146282         1235132         1151789.10                       N/A
      8388608           100         1896238         1969386         1906373.17                       N/A
     16777216           100         3405612         3656282         3423425.25                       N/A

#---------------------------------------------------
# Benchmarking shfree 
# #processes = 2
#---------------------------------------------------
       #bytes  #repetitions     t_min[nsec]     t_max[nsec]       t_avg[nsec]      Bw_aggregated[MB/sec]
            8          1000            7738           10249            8108.64                       N/A
           16          1000            7863           11355            8126.23                       N/A
           32          1000            7831           82160            8127.69                       N/A
           64          1000            7876           80685            8147.59                       N/A
          128          1000            7847           26242            8141.64                       N/A
          256          1000            7769           82459            8122.68                       N/A
          512          1000            7855            8965            8101.57                       N/A
         1024          1000            7878            9714            8126.19                       N/A
         2048          1000            7831           10101            8085.95                       N/A
         4096          1000            7855           10580            8109.35                       N/A
         8192          1000            7868           10496            8130.17                       N/A
        16384          1000            7844           24695            8100.93                       N/A
        32768           500            7891            8929            8096.64                       N/A
        65536           500            7847            8890            8116.05                       N/A
       131072           500            7844            8757            8072.56                       N/A
       262144           500            7876           19472            8123.12                       N/A
       524288           500            7883           30174            8162.25                       N/A
      1048576           250            7777           19945            8136.49                       N/A
      2097152           250            7876            8996            8110.91                       N/A
      4194304           250            7899            9961            8138.75                       N/A
      8388608           100            7930            9082            8160.06                       N/A
     16777216           100            8039            9469            8382.60                       N/A

#---------------------------------------------------
# Benchmarking shmem_short_p 
# #processes = 2
#---------------------------------------------------
       #bytes  #repetitions     t_min[nsec]     t_max[nsec]       t_avg[nsec]      Bw_aggregated[MB/sec]
            8          1000           10572           84481           10846.73                      4.76
           16          1000           16412           38905           16603.63                      6.21
           32          1000           28042          102490           28463.17                      7.25
           64          1000           51429           79180           51772.52                      7.97
